SI. No.,State,,2010,,2011,,2012,,2013,(Prov.,2014 upto 30.11.14)
,,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths
1,Andhra Pd.,776,3,1209,6,2299,2,910,1,805,3
2,Arunachal Pd.,0,0,0,0,346,0,0,0,7,0
3,Assam,237,2,0,0,1058,5,4526,2,75,0
4,Bihar,510,0,21,0,872,3,1246,5,289,0
5,Chhattisgarh,4,0,313,11,45,0,83,2,56,5
6,Goa,242,0,26,0,39,0,198,2,140,1
7,Gujarat,2568,1,1693,9,3067,6,6272,15,1942,1
8,Haryana,866,20,267,3,768,2,1784,5,200,2
9,Himachal Pd.,3,0,0,0,73,0,89,2,0,0
10,J & K,0,0,3,0,17,1,1837,3,0,0
11,Jharkhand,27,0,36,0,42,0,161,0,26,0
12,Karnataka,2285,7,405,5,3924,21,6408,12,2842,0
13,Kerala,2597,17,1304,10,4172,15,7938,29,2361,9
14,Madhya Pd.,175,1,50,0,239,6,1255,9,1991,12
15,Meghalaya,1,0,0,0,27,2,43,0,8,0
16,Maharashtra,1489,5,1138,25,2931,59,5610,48,6485,29
17,Manipur,7,0,220,0,6,0,9,0,0,0
18,Mizoram,0,0,0,0,6,0,7,0,16,0
19,Nagaland,0,0,3,0,0,0,0,0,0,0
20,Orissa,29,5,1816,33,2255,6,7132,6,6231,9
21,Punjab,4012,15,3921,33,770,9,4117,25,437,2
22,Rajasthan,1823,9,1072,4,1295,10,4413,10,817,6
23,Sikkim,0,0,2,0,2,0,38,0,5,0
24,Tamil Nadu,2051,8,2501,9,12826,66,6122,0,2074,0
25,Tripura,0,0,0,0,9,0,8,0,6,0
26,Telangana,0,0,0,0,0,0,0,0,606,0
27,Uttar Pradesh,960,8,155,5,342,4,1414,5,119,0
28,Uttrakhand,178,0,454,5,110,2,54,0,1,0
29,West Bengal,805,1,510,0,6456,11,5920,6,3388,3
30,A&N Island,25,0,6,0,24,0,67,0,121,0
31,Chandigarh,221,0,73,0,351,2,107,0,11,0
32,Delhi,6259,8,1131,8,2093,4,5574,6,847,3
33,D&N Haveli,46,0,68,0,156,1,190,0,483,1
34,Daman & Diu,0,0,0,0,96,0,61,0,0,0
35,Puducherry,96,0,463,3,3506,5,2215,0,931,0
,TOTAL,28292,110,18860,169,50222,242,75808,193,33320,86