STATEs/UTs.,,2009,,,,2010,,,,2011,,,,2012,,,,2013*,,
,Blood Slide Examination,Malaria cases,Pf cases,Deaths,Blood Slide Examination,Malaria cases,Pf cases,Deaths,Blood Slide Examination,Malaria cases,Pf cases,Deaths,Blood Slide Examination,Malaria cases,Pf cases,Deaths,Blood Slide Examination,Malaria cases,Pf cases,Deaths
Andhra Pradesh,9189256,25152,14841,3,9120643,33393,23259,20,9368740,34949,24089,5,9423964,24699,15695,2,6436502,13351,9132,0
Arunachal Pradesh,213893,22066,6602,15,190063,17944,5412,103,197626,13950,4856,17,150707,8368,2789,15,87109,5074,1643,11
Assam,3021920,91413,66557,63,4309287,68353,48330,36,4130216,47397,34707,45,3973341,29999,20579,13,3246029,17002,12758,7
Bihar,115174,3255,2408,21,133757,1908,933,1,167561,2643,1273,0,190307,2605,838,0,146668,1944,563,0
Chhattisgarh,3250904,129397,104055,11,3426558,152209,120080,47,3444641,136899,107472,42,3721209,124006,96924,90,2728663,82372,66880,17
Goa,417110,5056,1056,10,459861,2368,275,1,418722,1187,135,3,445331,1714,170,0,369355,1282,114,0
Gujarat,10180104,45902,8485,34,10689221,66501,13729,71,10967041,89764,16112,127,10755616,76246,10483,29,10528688,48935,6032,19
Haryana,2083245,30168,781,0,2340573,18921,764,0,2907380,33401,1133,1,2813199,26819,569,1,2027361,11225,126,2
Himachal Pradesh,397327,192,0,0,393203,210,2,0,367499,247,2,0,401511,216,3,0,392524,130,0,0
Jammu & Kashmir,464748,346,21,0,473268,802,43,0,484704,1091,45,0,490495,864,34,0,406216,612,16,0
Jharkhand,3347069,230683,91194,28,3383496,199842,89357,16,3441614,160653,70302,17,3763323,131476,48188,10,2893834,77560,27830,5
Karnataka,9321098,36859,5723,0,9281666,44319,7936,11,9205620,24237,2648,0,9109193,16466,1278,0,7222627,10170,644,5
Kerala,2054473,2046,249,5,2143497,2299,271,7,2153277,1993,271,2,2414705,2036,236,3,2097121,1370,191,0
Madhya Pradesh,9609659,87628,24581,26,9230400,87165,31092,31,9900131,91851,31940,109,9580368,76538,24039,43,7164158,56865,18034,18
Maharashtra,14770338,93818,24962,227,16118905,139198,32387,200,16098563,96577,21401,118,16578129,58517,11875,96,14017371,37068,6888,58
Manipur,114720,1069,620,1,117986,947,487,4,120615,714,314,1,115257,255,83,0,79956,115,40,0
Meghalaya,501419,76759,74251,192,437167,41642,39374,87,391397,25143,24018,53,354574,20834,19805,52,318137,21217,20249,42
Mizoram,171793,9399,7387,119,334991,15594,14664,31,213149,8861,8373,30,168421,9883,9437,25,181799,10075,9244,19
Nagaland,156259,8489,2893,35,182804,4959,1877,14,205520,3363,950,4,214943,2891,821,1,193941,2048,444,1
Orissa,5015489,380904,336047,198,5240458,395651,350428,247,4650799,308968,281577,99,4616440,262842,244503,79,4106128,179570,164957,55
Punjab,2996929,2955,35,0,3140465,3477,71,0,3120544,2693,64,3,2911782,1689,43,0,2442878,1653,24,0
Rajasthan,7845840,32709,1767,18,8732582,50963,2331,26,8591970,54294,2973,45,8591458,45809,1394,22,6116898,23800,674,6
Sikkim,6688,42,16,1,6526,49,14,0,6969,51,14,0,6574,77,14,0,10105,38,12,0
Tamil Nadu,7801419,14988,448,1,7838638,17086,623,3,7841899,22171,925,0,7682917,18869,576,0,7068412,13075,379,0
Tripura,361848,24430,22952,62,330608,23939,21254,15,288076,14417,13812,12,268189,11565,10915,7,183397,5670,5408,4
Uttarakhand,208350,1264,43,0,214763,1672,183,0,246641,1277,123,1,267013,1948,111,0,258426,1300,92,0
Uttar Pradesh,3527695,55437,660,0,4066059,64606,1382,0,4110871,56968,1857,0,3945295,47400,740,0,3504074,41891,490,0
West Bengal,5336895,141211,36982,74,5440313,134795,24693,47,5044278,66368,10858,19,5159246,55793,8669,30,4413507,24330,2277,16
A.N.Islands,133504,5760,3056,0,121760,2484,803,0,97946,1918,607,0,95372,1539,696,0,65992,922,323,0
Chandigarh,94301,430,4,0,98930,351,6,0,75368,582,9,0,86991,201,3,0,38048,144,1,0
D & N Haveli,62279,3408,1181,0,65104,5703,2243,0,58949,5150,2082,0,101055,4940,2149,1,56638,1709,490,0
Daman & Diu,24123,97,19,0,25502,204,60,0,31856,262,55,0,33807,186,33,0,29849,83,3,0
Delhi,509231,169,0,0,503926,251,1,0,377122,413,1,0,380515,382,1,0,278861,303,7,0
Lakshadweep,426,8,0,0,440,6,0,0,578,8,0,0,473,9,0,0,0,0,0,0
Puducherry,90550,65,1,0,86009,175,0,0,241778,196,6,1,233078,143,2,0,180753,103,1,0
All India Total,103396076,1563574,839877,1144,108679429,1599986,834364,1018,108969660,310656,665004,754,109044798,1067824,533695,519,89292025,693006,355966,285