STATE,2009,2010,2011,2012,2013
ANDHRA_PD,3,20,5,2,0
Arunachal Pradesh,15,103,17,15,11
Assam,63,36,45,13,7
Bihar,21,1,0,0,0
Chhattisgarh,11,47,42,90,17
Goa,10,1,3,0,0
Gujarat,34,71,127,29,19
Haryana,0,0,1,1,2
Himachal Pradesh,0,0,0,0,0
Jammu & Kashmir,0,0,0,0,0
Jharkhand,28,16,17,10,5
KARNATAKA,0,11,0,0,5
Kerala,5,7,2,3,0
Madhya Pradesh,26,31,109,43,18
MAHARASHTRA,227,200,118,96,58
Manipur,1,4,1,0,0
Meghalaya,192,87,53,52,42
Mizoram,119,31,30,25,19
Nagaland,35,14,4,1,1
Orissa,198,247,99,79,55
Punjab,0,0,3,0,0
RAJASTHAN,18,26,45,22,6
Sikkim,1,0,0,0,0
TAMIL_NADU,1,3,0,0,0
Tripura,62,15,12,7,4
Uttarakhand,0,0,1,0,0
UTTAR_PD,0,0,0,0,0
West Bengal,74,47,19,30,16
A.N.Islands,0,0,0,0,0
Chandigarh,0,0,0,0,0
D & N Haveli,0,0,0,1,0
Daman & Diu,0,0,0,0,0
DELHI,0,0,0,0,0
Lakshadweep,0,0,0,0,0
Puducherry,0,0,1,0,0
All India Total,1144,1018,754,519,285